"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2025","33,700.0","34,000.0","34,999.0","33,000.0","0.16K","-1.29%"
"07/25/2025","34,139.6","36,961.5","36,971.5","30,702.0","0.33K","1.57%"
"07/24/2025","33,610.4","31,000.0","33,610.4","31,000.0","0.16K","10.00%"
"07/23/2025","30,554.9","28,999.0","30,554.9","26,500.0","0.16K","10.00%"
"07/22/2025","27,777.2","27,021.6","28,047.0","23,001.0","0.17K","8.94%"
"07/21/2025","25,498.0","23,953.0","25,498.0","23,953.0","0.10K","4.03%"
"07/18/2025","24,510.0","23,876.0","24,900.0","23,876.0","0.10K","1.28%"
"07/17/2025","24,199.1","23,888.8","24,200.0","23,600.0","0.08K","1.18%"
"07/16/2025","23,918.0","23,401.0","24,200.0","23,401.0","0.04K","0.51%"
"07/15/2025","23,796.2","23,590.0","24,000.0","23,362.0","0.30K","1.97%"
"07/14/2025","23,335.5","23,500.0","23,598.0","22,999.0","0.06K","-0.34%"
"07/11/2025","23,415.5","23,500.0","23,500.0","23,325.0","0.02K","0.39%"
"07/10/2025","23,325.1","23,399.0","23,677.0","23,301.0","0.09K","-0.70%"
"07/09/2025","23,488.5","23,450.0","23,498.0","23,299.0","0.01K","1.08%"
"07/08/2025","23,238.6","23,399.2","23,495.0","23,125.0","0.13K","-0.69%"
"07/07/2025","23,399.2","23,102.0","23,500.0","23,000.0","0.12K","-1.05%"
"07/04/2025","23,647.0","23,650.0","23,650.0","23,100.0","0.02K","0.20%"
"07/03/2025","23,600.0","23,500.0","23,700.0","23,402.5","0.03K","0.84%"
"07/02/2025","23,402.5","23,500.0","23,600.0","23,305.0","0.02K","0.05%"
"07/01/2025","23,390.0","23,599.9","23,599.9","23,225.0","0.02K","-0.95%"
"06/30/2025","23,613.3","23,500.0","23,645.0","23,145.0","0.06K","0.48%"
"06/27/2025","23,500.0","23,500.0","23,500.0","23,500.0","0.00K","0.44%"
"06/26/2025","23,396.8","23,450.0","23,689.3","23,210.0","0.03K","-0.26%"
"06/25/2025","23,457.5","23,970.0","23,971.6","22,900.0","0.06K","-0.69%"
"06/24/2025","23,621.4","23,200.0","23,995.0","23,101.0","0.05K","3.15%"
"06/23/2025","22,900.0","23,200.0","23,200.0","21,501.0","0.05K","-1.06%"
"06/20/2025","23,145.7","23,005.0","23,274.0","22,800.0","0.03K","0.07%"
"06/19/2025","23,129.6","22,810.0","23,287.0","22,810.0","0.05K","0.61%"
"06/18/2025","22,989.0","23,279.0","23,279.0","22,800.0","0.05K","-0.91%"
"06/17/2025","23,200.0","23,250.0","23,250.0","22,900.0","0.03K","-0.11%"
"06/16/2025","23,225.0","23,100.0","23,298.0","23,100.0","0.04K","0.10%"
"06/13/2025","23,201.3","23,100.0","23,300.0","23,100.0","0.01K","-0.47%"
"06/12/2025","23,310.3","23,125.0","23,400.0","23,125.0","0.05K","0.88%"
"06/11/2025","23,105.9","23,100.0","23,497.0","23,100.0","0.14K","0.24%"
"06/10/2025","23,050.0","23,115.1","23,188.0","23,000.0","0.33K","-0.27%"
"06/05/2025","23,112.3","23,010.0","23,665.0","23,010.0","0.20K","-1.02%"
"06/04/2025","23,350.0","23,364.8","23,449.0","23,201.0","0.07K","-0.06%"
"06/03/2025","23,364.8","23,101.5","23,490.0","23,086.0","0.08K","0.71%"
"06/02/2025","23,199.6","23,700.0","23,700.0","23,025.0","0.06K","-0.17%"
"05/30/2025","23,238.1","22,825.0","23,500.0","22,825.0","0.03K","0.60%"
"05/29/2025","23,099.2","22,750.5","23,100.0","22,750.5","0.04K","0.43%"
"05/27/2025","23,000.0","23,000.0","23,100.0","23,000.0","0.07K","-0.43%"
"05/26/2025","23,100.0","23,100.0","23,200.0","23,000.0","0.04K","0.00%"
"05/23/2025","23,100.0","22,850.0","23,100.0","22,800.0","0.07K","0.89%"
"05/22/2025","22,896.0","23,000.0","23,000.0","22,780.8","0.02K","-0.02%"
"05/21/2025","22,900.0","22,800.0","22,900.0","22,800.0","0.07K","0.47%"
"05/20/2025","22,793.5","22,964.0","22,964.0","22,737.0","0.02K","0.24%"
"05/19/2025","22,737.8","23,400.0","23,400.0","22,725.5","0.08K","0.05%"
"05/16/2025","22,725.5","23,100.0","23,100.0","22,501.0","0.06K","-0.68%"
"05/15/2025","22,881.8","22,920.0","22,990.0","22,510.0","0.10K","0.91%"
"05/14/2025","22,676.2","23,199.0","23,199.0","22,500.0","0.09K","-1.03%"
"05/13/2025","22,912.5","23,000.0","23,200.0","22,850.0","0.05K","0.15%"
"05/12/2025","22,877.3","22,700.0","23,300.0","22,700.0","0.05K","4.12%"
"05/09/2025","21,972.9","22,100.0","22,895.0","20,898.0","0.16K","-0.49%"
"05/08/2025","22,080.8","22,997.0","22,997.0","21,701.0","0.15K","-2.00%"
"05/07/2025","22,531.3","22,890.0","22,900.0","22,400.0","0.14K","-1.25%"
"05/06/2025","22,815.7","23,000.0","23,100.0","22,550.0","0.37K","-0.80%"
"05/05/2025","23,000.0","23,050.0","23,100.0","22,800.0","0.31K","-0.04%"
"05/02/2025","23,008.1","23,500.0","24,000.0","21,200.0","0.48K","-1.97%"
"04/30/2025","23,469.8","23,100.0","23,980.0","22,710.0","0.04K","1.60%"
"04/29/2025","23,100.0","23,001.0","23,161.0","23,000.0","0.13K","-0.26%"
"04/28/2025","23,161.0","22,902.0","24,000.0","22,902.0","0.03K","1.14%"
"04/25/2025","22,901.0","22,600.0","23,000.0","22,600.0","0.02K","-2.10%"
"04/24/2025","23,392.7","22,300.3","24,100.0","22,300.3","0.03K","1.96%"
"04/23/2025","22,942.7","22,750.5","23,050.0","22,750.5","0.02K","-0.56%"
"04/22/2025","23,071.4","23,105.0","23,123.0","22,500.0","0.11K","-0.12%"
"04/21/2025","23,099.0","23,025.0","23,100.0","22,956.0","0.04K","0.43%"
"04/18/2025","23,000.0","23,025.0","23,025.0","22,560.1","0.02K","0.39%"
"04/17/2025","22,911.3","23,199.9","23,199.9","22,901.0","0.02K","-0.25%"
"04/16/2025","22,968.0","22,990.0","22,990.0","22,900.0","0.04K","-1.40%"
"04/15/2025","23,294.6","22,831.0","23,424.0","22,831.0","0.24K","0.80%"
"04/14/2025","23,110.0","23,100.0","23,252.0","22,100.2","0.08K","-0.04%"
"04/11/2025","23,120.2","23,000.0","23,299.0","23,000.0","0.03K","0.52%"
"04/10/2025","23,000.0","23,000.0","23,240.0","22,950.0","0.18K","0.44%"
"04/09/2025","22,900.0","22,913.5","22,951.0","22,705.0","0.07K","-0.06%"
"04/08/2025","22,913.5","23,200.0","23,280.0","22,840.0","0.19K","0.32%"
"04/07/2025","22,840.0","22,901.0","23,100.0","22,800.0","0.15K","-0.41%"
"04/04/2025","22,934.0","22,950.0","23,190.0","22,900.0","0.12K","0.06%"
"04/03/2025","22,920.1","23,001.1","23,300.0","22,901.0","0.34K","-0.35%"
"03/27/2025","23,001.1","23,200.0","23,330.0","23,000.0","0.33K","0.00%"
"03/26/2025","23,000.0","23,600.0","23,600.0","23,000.0","0.37K","-2.33%"
"03/25/2025","23,549.0","23,650.0","23,650.0","23,400.0","0.09K","0.10%"
"03/24/2025","23,525.5","23,525.0","23,650.0","23,400.0","0.19K","-0.17%"
"03/21/2025","23,565.6","23,400.0","23,599.0","23,400.0","0.03K","0.71%"
"03/20/2025","23,400.0","23,400.0","23,595.8","23,285.0","0.06K","0.00%"
"03/19/2025","23,400.0","23,400.0","23,400.0","23,100.0","0.06K","-0.35%"
"03/18/2025","23,482.5","23,697.0","23,697.0","23,300.0","0.03K","0.96%"
"03/17/2025","23,260.0","23,016.0","23,700.0","23,016.0","0.08K","-0.65%"
"03/14/2025","23,413.0","23,499.9","23,499.9","23,300.0","0.01K","0.84%"
"03/13/2025","23,217.2","23,200.3","23,500.0","23,200.1","0.03K","-0.52%"
"03/12/2025","23,339.6","23,280.0","23,498.0","23,280.0","0.01K","0.23%"
"03/11/2025","23,286.0","23,698.9","23,698.9","23,200.0","0.02K","-1.74%"
"03/10/2025","23,698.9","24,499.0","24,499.0","23,035.5","0.10K","1.62%"
"03/07/2025","23,320.2","24,893.0","24,893.0","22,800.5","0.06K","0.65%"
"03/06/2025","23,169.0","23,500.0","23,500.0","22,800.1","0.01K","0.73%"
"03/05/2025","23,001.5","23,000.0","23,440.0","22,800.0","0.04K","-0.28%"
"03/04/2025","23,066.3","23,000.0","23,198.0","22,990.0","0.02K","0.27%"
"03/03/2025","23,005.0","23,400.0","23,400.0","22,800.0","0.01K","-0.11%"
"02/28/2025","23,030.5","23,000.0","23,100.0","23,000.0","0.02K","-1.58%"
"02/27/2025","23,400.0","23,001.1","23,498.9","23,001.1","0.01K","0.32%"
"02/26/2025","23,325.0","23,499.0","23,499.0","22,800.0","0.01K","1.41%"
"02/25/2025","23,001.5","23,550.0","23,550.0","23,000.0","0.03K","0.00%"
"02/24/2025","23,002.5","22,802.0","23,790.0","22,802.0","0.03K","0.45%"
"02/21/2025","22,900.0","22,301.0","23,493.0","22,301.0","0.04K","-0.93%"
"02/20/2025","23,115.0","23,346.0","23,500.0","23,000.0","0.04K","-1.17%"
"02/19/2025","23,387.5","23,346.0","23,500.0","23,346.0","0.03K","0.18%"
"02/18/2025","23,345.6","23,500.0","23,500.0","23,345.0","0.03K","0.00%"
"02/17/2025","23,344.6","23,338.0","23,450.0","23,015.2","0.06K","0.03%"
"02/14/2025","23,338.4","23,260.0","24,000.0","23,260.0","0.04K","-0.61%"
"02/13/2025","23,482.5","23,220.0","23,799.0","22,500.0","0.10K","-1.85%"
"02/12/2025","23,924.0","24,350.0","24,350.0","22,300.0","0.12K","2.17%"
"02/11/2025","23,415.4","22,700.1","23,500.0","22,000.0","0.10K","0.79%"
"02/10/2025","23,232.3","24,400.0","24,400.0","22,655.1","0.05K","3.51%"
"02/07/2025","22,444.8","22,316.0","22,500.0","22,315.5","0.02K","0.58%"
"02/06/2025","22,315.5","22,500.0","22,600.0","22,305.0","0.04K","-0.37%"
"02/04/2025","22,399.2","22,450.0","22,450.0","22,300.0","0.07K","0.07%"
"02/03/2025","22,383.3","22,300.0","22,500.0","22,300.0","0.06K","0.35%"
"01/31/2025","22,305.5","22,499.0","22,500.0","22,305.0","0.07K","-0.36%"
"01/30/2025","22,387.0","22,150.0","22,400.0","22,150.0","0.02K","1.30%"
"01/29/2025","22,100.5","22,490.0","22,490.0","21,800.1","0.02K","0.45%"
"01/28/2025","22,002.0","21,750.0","22,500.0","21,750.0","0.03K","0.03%"
"01/27/2025","21,995.4","22,000.0","22,000.0","21,700.0","0.03K","1.83%"
"01/24/2025","21,600.0","21,800.0","22,000.0","21,000.0","0.03K","-0.41%"
"01/23/2025","21,690.0","21,501.0","21,993.7","20,204.0","0.04K","-0.96%"
"01/22/2025","21,900.0","21,989.9","22,000.0","21,800.0","0.01K","1.62%"
"01/21/2025","21,550.0","21,900.0","22,090.0","21,500.0","0.08K","-1.37%"
"01/20/2025","21,849.5","21,501.0","22,100.0","21,501.0","0.03K","-0.68%"
"01/17/2025","21,998.0","22,000.0","22,000.0","21,500.0","0.05K","1.84%"
"01/16/2025","21,600.0","21,465.1","22,000.0","21,465.1","0.03K","0.63%"
"01/15/2025","21,465.0","21,021.1","21,500.0","21,020.1","0.09K","0.07%"
